,SMILES,sp3,n_rings,h_don,h_acc,similarity
20,CCc1cc(C(=O)Nc2cccnc2N2CCNC(=O)C2)c(C)[nH]1,0.35294117647058826,3,3,7,0.12048192771084337
21,CCn1ncc(C(=O)NCC(c2ccc(C)o2)N2CCOCC2)c1C,0.5555555555555556,3,1,7,0.0963855421686747
22,CNC(=O)CC(=NNc1cc(=O)n(C)c(=O)n1C)c1ccc(C)cn1,0.3125,2,2,9,0.1282051282051282
23,CNC(=O)CC1SC(=Nc2ccc(Cl)nc2)N(Cc2occc2C)C1=O,0.29411764705882354,3,1,7,0.1
24,COC(C)(C)c1nsc(NC(=O)C2CCN(C)C2c2ccc(C)s2)n1,0.5882352941176471,3,1,6,0.06896551724137931
25,COC(C)c1nc(=NC(=O)C2CCC(=O)N2Cc2ccc(C)cc2)s[nH]1,0.4444444444444444,3,1,7,0.10344827586206896
26,COc1cc(C#N)ccc1C(=O)N1CCCC(O)(c2cn(C(C)C)nn2)C1,0.47368421052631576,3,1,8,0.1
27,COc1cc(NC(=O)N2CCC(C(N)=O)CC2)ccc1-n1cccn1,0.35294117647058826,3,3,8,0.12195121951219512
28,COc1ccc(-n2ccc(C(=O)N3CC(C(N)=O)CCC3C)n2)cc1,0.3888888888888889,3,2,7,0.1
29,COc1ccc(C(NC(=O)Cn2cc(Br)c(O)nc2=O)C(C)C)cc1,0.35294117647058826,2,2,7,0.1125
30,COc1ccc(C)cc1NC(=O)Cc1noc(C2(O)CCCNC2)n1,0.47058823529411764,3,3,8,0.10227272727272728
31,COc1ccc(Cl)cc1-c1cc(CNC(=O)C2(C)CCNC2=O)on1,0.35294117647058826,3,2,7,0.12790697674418605
32,COc1ccc2c(c1)CCC(C(=O)Nc1ncn(CC(=O)N(C)C)n1)C2,0.4444444444444444,3,1,8,0.09090909090909091
33,Cc1c(C(=O)N2CC(O)CC2c2cccc(C(F)(F)F)c2)nnn1C,0.4375,3,1,6,0.10975609756097561
34,Cc1c(C(=O)N2CCC3(O)CCCCC3C2)cnn1-c1ccccn1,0.5263157894736842,4,1,6,0.10588235294117647
35,Cc1c(C(=O)NC(C)c2cccc(O)c2)nnn1CC1CCOCC1,0.5,3,2,7,0.11904761904761904
36,Cc1c(C(=O)NCC(=O)NCc2ccco2)cnn1C1CCOCC1,0.47058823529411764,3,2,8,0.10843373493975904
37,Cc1c(NC(=O)C(C)(C)COCc2ccccn2)cccc1N(C)C,0.4,2,1,5,0.1282051282051282
38,Cc1cc(C(=O)N2CC(N)C(c3cccc(F)c3)C2)nn1C1CCOCC1,0.5,4,2,6,0.11764705882352941
39,Cc1cc(C(=O)N2CCC(c3cccnc3)C2)c(C)n1CC(=O)O,0.3888888888888889,3,1,6,0.15384615384615385
40,Cc1cc(C(=O)NCC2CCCN(c3ncccn3)C2)ccc1NC(C)=O,0.4,3,2,7,0.10588235294117647
41,Cc1cc(OCc2cccc(C#N)c2)nc(NC(=O)C2(C)CCNC2)n1,0.3684210526315789,3,2,7,0.15294117647058825
42,Cc1ccc(-c2cncc(F)c2)cc1NC(=O)CC(=O)NCC(F)(F)F,0.23529411764705882,2,2,5,0.11688311688311688
43,Cc1ccc(-c2nnc3n2CCCCC3)cc1NC(=O)C1CC(=O)N1,0.4444444444444444,4,2,7,0.10975609756097561
44,Cc1ccc(-c2nnc3n2CCCCC3)cc1NC(=O)C1CNCCOC1,0.55,4,2,7,0.10112359550561797
45,Cc1ccc(-c2nnco2)cc1NC(=O)C1CN(C2CCOC2)C1,0.47058823529411764,4,1,7,0.09523809523809523
46,Cc1ccc(C2CC2C(=O)NCc2nnc3n2CCCC3C(N)=O)s1,0.5294117647058824,4,3,7,0.10465116279069768
47,Cc1ccc(N2CCCC(Nc3ncccc3C(N)=O)C2=O)c(C)c1,0.3157894736842105,3,3,6,0.1625
48,Cc1ccc(NC(=O)C=Cc2ccncn2)cc1C(=O)N1CCOCC1,0.2631578947368421,3,1,7,0.09523809523809523
49,Cc1ccc(O)c(C(=O)N2CC(C)(CO)C(c3cnn(C)c3)C2)c1,0.4444444444444444,3,2,6,0.12345679012345678
50,Cc1ccc(OCC(O)Cn2nc(NC(C)CO)c(C#N)c2C)cc1,0.4444444444444444,2,3,7,0.058823529411764705
51,Cc1ccc(OCc2nnc(SC(C)C(=O)NC(N)=O)n2N)cc1,0.2857142857142857,2,5,9,0.11392405063291139
52,Cc1cccnc1CCNC(=O)c1ccc(CN2CCCC2=O)cn1,0.3684210526315789,3,1,6,0.13414634146341464
53,Cc1ccnc(C2CCN(C(=O)c3coc4c3C(=O)NCCC4)CC2)n1,0.47368421052631576,4,1,7,0.07954545454545454
55,Cc1nc(COc2ccc(Cl)cc2)sc1C(=O)N1CCC(C)(O)C1,0.4117647058823529,3,1,5,0.08333333333333333
56,Cc1nccn1-c1ncccc1CNC(=O)C1CN2CCCC2CO1,0.5,4,1,7,0.08888888888888889
57,Cc1ncoc1COc1cccc(CC(=O)NCC(=O)NCC(F)(F)F)c1,0.35294117647058826,2,2,7,0.14814814814814814
58,Cc1nn(Cc2ccc(F)cc2)c(C)c1C(=O)NCCC(N)=O,0.3125,2,3,6,0.16666666666666666
59,Cc1oc(C2CC2)nc1C(=O)NC1CNCCC1n1ccnc1,0.5625,4,2,7,0.05747126436781609
60,Cc1scc(C(=O)NC2CC(C)N(c3cnn(CCO)c(=O)c3)C2)c1C,0.5,3,2,7,0.09090909090909091
62,NC(=O)C1CCN(C(=O)c2coc(-c3ccc(Br)cc3F)n2)C1,0.26666666666666666,3,2,6,0.12345679012345678
63,O=C(c1cnn(-c2cccc(Br)c2)n1)N1CCC(O)CC12CCC2,0.47058823529411764,4,1,6,0.12195121951219512
64,CC(=O)N(Cc1noc(C)n1)C1CCN(c2cccc(N)c2)C1=O,0.375,3,2,8,0.14814814814814814
65,CC(=O)N1CC(C(=O)Nc2nnc(C3CC3)s2)C(c2ccco2)O1,0.4666666666666667,4,1,8,0.08333333333333333
66,CC(=O)N1CC(NC(=O)c2cnn(CC3CC3)c2)C(c2cncn2C)C1,0.5555555555555556,4,1,8,0.06818181818181818
67,CC(=O)N1CC(NC(=O)c2coc(-c3ccc(Br)cc3F)n2)C(C)(C)C1,0.3888888888888889,3,1,6,0.09090909090909091
68,CC(=O)N1CC(O)CC1C(=O)N1CCCc2cc(CNc3ccccn3)ccc21,0.4090909090909091,4,2,7,0.1348314606741573
69,CC(=O)N1CCCCC1CC(=O)Nc1nc(-c2ccc(SC)cc2)ns1,0.4444444444444444,3,1,6,0.09302325581395349
70,CC(=O)NC(C(=O)Nc1nnc(C(F)(F)F)s1)c1ccc(Cl)cc1,0.23076923076923078,2,2,6,0.07692307692307693
71,CC(=O)NC(CC(=O)N1CCn2c(C)nnc2C1)c1ccc(Cl)cc1,0.4117647058823529,3,1,7,0.08536585365853659
72,CC(=O)NC(Cc1c[nH]c2ccc(Br)cc12)C(=O)OCc1nnc(C)o1,0.29411764705882354,3,2,8,0.10344827586206896
73,CC(=O)NC1(C(=O)Nc2nnc(SCc3ccc(C)o3)s2)CCC1,0.4666666666666667,3,2,7,0.0963855421686747
74,CC(=O)NC1(c2nc(CC(=O)Nc3ccc(C)cc3F)no2)CCCCC1,0.47368421052631576,3,2,7,0.10588235294117647
75,CC(=O)NC1(c2noc(CCC(=O)Nc3cccc(C#N)c3)n2)CCCC1,0.42105263157894735,3,2,8,0.15476190476190477
76,CC(=O)NCCN(Cc1nc(-c2cccc(C(F)(F)F)c2)no1)C(C)=O,0.375,2,1,7,0.16455696202531644
77,CC(=O)NCCNc1ncncc1C(=O)NCc1ccc(Cl)s1,0.2857142857142857,2,3,7,0.1
78,CC(=O)c1oc2cc(C)ccc2c1CC(=O)NC(CO)c1ccnn1C,0.3157894736842105,3,2,7,0.10714285714285714
79,CC1CN(C)CC(C(=O)NCc2cccc(-c3cnn(C)c3)n2)O1,0.47058823529411764,3,1,7,0.12195121951219512
80,CCC1(c2nc(-c3ccc4c(c3)CNC4)no2)CCN(C(=O)O)C1,0.47058823529411764,4,2,7,0.13580246913580246
81,CCN(CC(=O)NC)C(=O)c1cc(C)n(Cc2ccccn2)c1C,0.3888888888888889,2,1,6,0.15584415584415584
82,CCN(CCC(N)=O)C(=O)c1cn(Cc2cccc(C)c2)nn1,0.375,2,2,7,0.20270270270270271
83,CCN1CC(c2noc(C3CC(=O)Nc4ccc(Br)cc43)n2)CC1=O,0.4117647058823529,4,1,7,0.07954545454545454
84,CCNC(=O)C(C)NC(=O)c1cc(COc2ccc(Cl)cc2)on1,0.3125,2,2,7,0.11392405063291139
85,CCNC(=O)CCC(=O)NC(C)c1cccc(-n2ccnn2)c1,0.375,2,2,7,0.14473684210526316
86,CCOc1cc(Cl)ccc1-c1noc(CN2CC(=O)NC(C)C2=O)n1,0.375,3,1,8,0.09302325581395349
87,CCc1c(C(=O)NCC(=O)NCC#N)cnn1-c1ccc(OC)cc1,0.29411764705882354,2,2,8,0.1
88,CCn1c(-c2ccc(Br)o2)nnc1N1CCCC(O)(C(=O)N2CCC2)C1,0.5882352941176471,4,1,8,0.08139534883720931
89,CCn1c(-c2ccc(CO)o2)nnc1N(C)CC(=O)NCCC,0.5333333333333333,2,2,8,0.09876543209876543
90,CCn1c(NC(=O)CC(c2ccc(F)cc2)N2CCOCC2)nc2cccnc21,0.38095238095238093,4,1,7,0.08888888888888889
91,CN(C)C(=O)CSc1nnc(NC(=O)Cc2ccc(Br)s2)s1,0.3333333333333333,2,1,6,0.08860759493670886
92,CN(CCC(N)=O)C(=O)c1cnn(-c2ncccc2Cl)c1C(F)(F)F,0.2857142857142857,2,2,7,0.15
93,CNC(=O)CCCNC(=O)c1cc(Cl)ccc1-n1cncn1,0.2857142857142857,2,2,7,0.17333333333333334
94,CNC(=O)CCN(C)C(=O)c1cnn(CC(F)(F)F)c1-c1ccc(C)o1,0.4375,2,1,7,0.12048192771084337
95,CNC(=O)CCN(C)C(=O)c1nn(-c2ccc(Br)cc2)cc1O,0.26666666666666666,2,2,7,0.11842105263157894
96,COC1(c2nc(CC(=O)NCc3ccco3)no2)CCNCC1,0.5333333333333333,3,2,8,0.10843373493975904
97,COCCN(CC(O)C(F)(F)F)Cc1ccc(Cl)cc1-n1cncn1,0.4666666666666667,2,1,6,0.08045977011494253
99,COCCN(Cc1ccc(C)nc1)C(=O)Cc1ncccc1C(N)=O,0.3333333333333333,2,2,7,0.2
100,COCCN(Cc1cn(C)nn1)C(=O)c1ccc2c(c1)N=C(O)CC(C)N2,0.4444444444444444,3,2,9,0.08602150537634409
102,COc1ccc(C)cc1-n1ccc(C(=O)N2CCC(F)(F)C(CO)C2)n1,0.4444444444444444,3,1,6,0.09195402298850575
103,COc1ccc(C)cc1NC(=O)Cc1noc(C2CNCCOC2)n1,0.47058823529411764,3,2,8,0.10112359550561797
104,COc1ccc(Cl)cc1C(=O)N1CCCC(O)(Cn2ccnn2)C1,0.4375,3,1,7,0.11764705882352941
105,COc1ccc(Cl)cc1CC(=O)N1CCCC(O)(c2cnn[nH]2)C1,0.4375,3,2,7,0.09090909090909091
106,COc1ccc(Cl)cc1CN(C)C(=O)c1cccc(C(=O)N(C)C)n1,0.2777777777777778,2,0,6,0.1388888888888889
108,COc1cccc2c1C(C(=O)N1CC(=O)N(C)C1c1nn[nH]n1)CC2,0.4375,4,1,9,0.10714285714285714
109,COc1cccnc1CC(=O)N1CCCCC1c1ccc(C(N)=O)cc1,0.35,3,2,6,0.13580246913580246
110,CSc1cccnc1-c1noc(-c2ccc3c(c2)NC(=O)CNC3=O)n1,0.11764705882352941,4,2,8,0.10843373493975904
111,Cc1c(-c2nn[nH]n2)cnn1CC(=O)N1CCC(C)C1CO,0.6153846153846154,3,2,9,0.0963855421686747
112,Cc1c(C(=O)NC2CCCCC2C(N)=O)nnn1Cc1ccc(F)cc1,0.4444444444444444,3,3,7,0.1375
113,Cc1c(C(=O)NCC(C)(C)C(N)=O)nnn1-c1ccc(F)c(Cl)c1,0.3333333333333333,2,3,7,0.125
114,Cc1cc(C(=O)N2CCCC3C(=O)NCC32)ccc1-n1cnnn1,0.4375,4,1,8,0.08235294117647059
115,Cc1cc(Sc2ncccn2)ccc1NC(=O)CN1CSCC1=O,0.25,3,1,6,0.1375
116,Cc1ccc(-c2cncc(F)c2)cc1NC(=O)C1(F)CCNCC1,0.3333333333333333,3,2,4,0.11538461538461539
117,Cc1ccc(-c2nn(CCC#N)cc2C(=O)NCC2CNCCO2)cn1,0.4444444444444444,3,2,8,0.09574468085106383
118,Cc1ccc(CNC(=O)C2CCCCN2C(=O)CCn2cccn2)c(O)c1,0.45,3,2,7,0.11363636363636363
119,Cc1ccc(N2CCN(C(=O)c3cccc(C(N)=O)n3)CC2=O)cc1,0.2222222222222222,3,2,7,0.15492957746478872
120,Cc1ccc(NC(=O)C2(c3nnc(C(=O)N(C)C)s3)CC2)cc1,0.375,3,1,6,0.10810810810810811
121,Cc1ccc(NC(=O)C2CC2)cc1NC(=O)COc1cccnc1,0.2777777777777778,3,2,6,0.1111111111111111
122,Cc1ccc(OC(C)C(=O)Nc2cnn(CC(=O)NC3CC3)c2)cc1,0.3888888888888889,3,2,7,0.08433734939759036
123,Cc1cccnc1C=CC(=O)NC(C)c1ccc(C(=O)NCC(F)(F)F)cn1,0.2631578947368421,2,2,6,0.09195402298850575
124,Cc1nn(-c2cccc(F)c2)cc1C(=O)NCC(=O)NC1CCCCC1,0.42105263157894735,3,2,6,0.13414634146341464
125,Cc1noc(CN2C(=O)C(C)N(Cc3cccc(C(F)(F)F)c3)C2=O)n1,0.375,3,0,7,0.1375
126,O=C1NCCN1c1ccc(C(=O)NC2CCCC2c2ccc(C(F)(F)F)cc2)nc1,0.38095238095238093,4,2,6,0.07865168539325842
127,CC(=O)N1CCCC(c2n[nH]c(SCC(=O)Nc3cccc(C)c3)n2)C1,0.4444444444444444,3,2,7,0.11363636363636363
128,CC(=O)NC(CC(=O)Nc1cnc2c(c1)CCCC2)c1ccco1,0.3888888888888889,3,2,6,0.12345679012345678
129,CC(=O)NC(CC(=O)Nc1nc(C(F)(F)F)n[nH]1)c1ccc(C)cc1,0.3333333333333333,2,3,7,0.0875
130,CC(=O)NC1CN(C(=O)c2cnc(C)nc2N)CC1c1ccc(C)s1,0.4117647058823529,3,3,7,0.0963855421686747
131,CC(=O)NCCN(C)C(=O)c1ccc(C)c(Oc2ccc(C)nn2)c1,0.3333333333333333,2,1,7,0.1
132,CC(=O)NCc1ccc(C(=O)N2CCCC(c3nncn3C)C2)s1,0.5,3,1,7,0.08139534883720931
133,CC(=O)Nc1cccnc1NC(=O)C1CCN(c2ccc(C#N)cc2F)C1,0.2631578947368421,3,2,7,0.08888888888888889
134,CC(C(=O)N1CC(O)C(O)C1)n1cc(CSc2ccc(Cl)cc2)nn1,0.4375,3,2,7,0.1
135,CC(C(=O)Nc1ccn(CCC(N)=O)n1)C1CCc2cccnc2N1,0.4117647058823529,3,4,8,0.12643678160919541
136,CC(O)CN(CC(F)F)C(=O)Cc1csc(-c2ccc(Cl)cc2F)n1,0.375,2,1,4,0.10975609756097561
137,CC(Sc1ncccc1C(=O)NC1CC1)c1cc(C(N)=O)no1,0.3333333333333333,3,3,7,0.16883116883116883
138,CCC1(NC(=O)c2nn(-c3cccc(C(F)(F)F)c3)cc2O)CCNC1=O,0.35294117647058826,3,3,7,0.12643678160919541
139,CCN(CC(N)=O)C(=O)c1cccc(Oc2ccc(C(F)(F)F)cn2)c1,0.23529411764705882,2,2,6,0.1518987341772152
140,CCN1CC(C(=O)Nc2ccc(Oc3ccc(C#N)cc3)nc2)CC1=O,0.2631578947368421,3,1,7,0.08139534883720931
141,CCNC(=O)CNC(=O)c1cc(Br)ccc1-n1cnnn1,0.25,2,2,8,0.11842105263157894
142,CCNC(=O)CNC(=O)c1cccnc1SCc1cc(C)on1,0.3333333333333333,2,2,7,0.13924050632911392
143,CCNC(=O)c1cc(Cl)nc(NCCC(O)c2ccc(C)cc2)n1,0.35294117647058826,2,3,6,0.10126582278481013
144,CCn1cc(CN(CCO)C(=O)Cc2cccc(C(N)=O)c2)nn1,0.375,2,3,8,0.19736842105263158
145,CN(CC1CCCCN1C(=O)c1nnn(-c2ccc(Br)cc2)c1)C(=O)O,0.4117647058823529,3,1,8,0.09523809523809523
147,CNC(=O)C(C)NC(=O)c1cc(C)ccc1OCc1nnc2n1CCCC2,0.47368421052631576,3,2,8,0.12790697674418605
148,CNC(=O)C1CN(C(=O)c2cnc(C)nc2N2CCCC2)C1c1ccc(C)o1,0.5,4,1,8,0.09302325581395349
149,CNC(=O)CC(NC(=O)c1ccn(CC(F)F)n1)c1cccc(Br)c1,0.3125,2,2,6,0.13580246913580246
150,CNC(=O)CNC(=O)c1cnn(-c2ncccc2Cl)c1C(F)(F)F,0.23076923076923078,2,2,7,0.125
151,COC(Cc1ccc(Br)cc1)C(=O)Nc1ncccc1NC(C)CO,0.3333333333333333,2,3,6,0.13924050632911392
152,COC(c1nc(CC(=O)NCc2ccc(F)cc2)no1)C1CCNC1,0.47058823529411764,3,2,7,0.11627906976744186
153,COC1CN(C(=O)c2cc(C)n(Cc3ccccn3)c2C)C(C)(CO)C1,0.5,3,1,6,0.12941176470588237
154,COCC1Cc2cccc(OC)c2N1C(=O)C(C)Sc1nnc(N)[nH]1,0.4375,3,3,8,0.11494252873563218
155,COCCN(Cc1cccc(C)c1)C(=O)c1cc(C(N)=O)ccn1,0.2777777777777778,2,2,6,0.20270270270270271
156,COc1c(Cl)cccc1CNC(CC(=O)O)Cc1cnn[nH]1,0.35714285714285715,2,3,7,0.1375
157,COc1cc(N(C)C)c2cc(C(=O)NCC(CO)Cc3ccco3)oc2c1,0.35,3,2,7,0.12790697674418605
158,COc1ccc(C(=O)NC2CCC(=O)N(C)C2c2ccnn2C)cc1Cl,0.3888888888888889,3,1,7,0.07954545454545454
159,COc1ccc(C)cc1-n1ccc(=NC(=O)CCN2CCCC2=O)[nH]1,0.3888888888888889,3,1,7,0.10465116279069768
160,COc1ccc(CN(C(=O)CON=C(N)c2ccccn2)C2CC2)cc1,0.3157894736842105,3,2,7,0.1625
161,COc1cccc(C2CC(c3cc(C(F)F)[nH]n3)NC(=O)NC2=O)c1,0.3125,3,3,7,0.08333333333333333
162,COc1cccc(Cc2nnc(NC(=O)C3(F)CNCC3)n2C)c1,0.4375,3,2,7,0.1875
163,CSc1ccc(-c2nsc(NC(=O)CN(C)CCCF)n2)cc1,0.4,2,1,5,0.09876543209876543
164,Cc1c(C(=O)NC2CC(O)C2n2cccn2)cnn1C1CCCCC1,0.6111111111111112,4,2,7,0.08433734939759036
165,Cc1c(CN2CCSCC2CC(=O)O)nnn1-c1cccc(F)c1,0.4375,3,1,6,0.14457831325301204
166,Cc1cc(C(=O)N2CC(O)CC2CO)nn1-c1ccc(Cl)cc1,0.375,3,2,6,0.10126582278481013
167,Cc1ccc(-c2nnc3n2CCCCC3)cc1S(=O)(=O)NC1CC(O)C1,0.5555555555555556,4,2,7,0.0975609756097561
168,Cc1ccc(-n2cnnc2SCC(=O)NC2CC(C)(O)C2)cc1,0.4375,3,2,6,0.08641975308641975
169,Cc1ccc(-n2nc3c(c2NC(=O)CNC2CCC2C(=O)O)CCC3)nc1,0.47368421052631576,4,3,8,0.10227272727272728
170,Cc1ccc(C(=O)N2CCCCCC2)cc1NC(=O)Cc1ncccc1F,0.38095238095238093,3,1,5,0.10975609756097561
171,Cc1ccc(C(=O)NC(C)(C)c2ncco2)c(SCC(N)=O)c1,0.3125,2,3,6,0.15584415584415584
172,Cc1ccc(CNC(=O)C(C)C)cc1C(=O)Nc1cncc(F)c1,0.2777777777777778,2,2,5,0.14666666666666667
173,Cc1ccc(NC(=O)C2CCN(c3ccc(C(N)=O)cn3)CC2)c(Br)c1,0.3157894736842105,3,3,6,0.1375
174,Cc1ccc(NC(=O)N2CCC(c3nnco3)CC2)c(OCC(F)(F)F)c1,0.47058823529411764,3,1,7,0.0898876404494382
175,Cc1ccc(OCC(O)CNC(C)(C)c2nn[nH]n2)cc1Cl,0.5,2,3,7,0.07228915662650602
176,Cc1cccnc1NC(=O)c1cn(CCCC(=O)O)nc1C,0.3333333333333333,2,2,7,0.1780821917808219
177,Cc1nc(COC(C)(C)C)oc1C(=O)NCc1ccc(O)cc1,0.4117647058823529,2,2,6,0.12162162162162163
178,Cc1nccn1-c1ncccc1CNC(=O)C1CC(=O)NC(C)C1,0.4117647058823529,3,2,7,0.09411764705882353
179,Cc1nccn1CC(C)CNC(=O)c1ccoc1C1(O)CCOCC1,0.5555555555555556,3,2,7,0.09195402298850575
180,Cc1ncoc1-c1ccc(OC(C)C(=O)NC(=O)NCC(F)(F)F)cc1,0.3125,2,2,7,0.1111111111111111
181,Cc1ncsc1C=CC(=O)Nc1cccn(CC(=O)N(C)C)c1=O,0.25,2,1,7,0.09523809523809523
182,Cc1nnnn1-c1cccc(NC(=O)CC(=O)NCC(F)(F)F)c1,0.3076923076923077,2,2,8,0.12987012987012986
183,Cc1occc1C(=O)Nc1nc(CC(=O)N(CC(C)O)C2CC2)cs1,0.47058823529411764,3,2,7,0.09090909090909091
184,Cc1onc(-c2cccc(Cl)c2Cl)c1C(=O)NCC1CC(O)C1,0.375,3,2,5,0.14102564102564102
185,Cn1c(CCNC(=O)CN2CCCC2=O)nnc1-c1ccc(Cl)cc1,0.4117647058823529,3,1,7,0.10975609756097561
186,NC(=O)C1CC(NC(=O)c2c(-c3cccc(Cl)c3)noc2O)C1,0.26666666666666666,3,4,7,0.1917808219178082
187,NC(=O)CCN(Cc1cccc(Br)c1)C(=O)c1cnn2c1OCCC2,0.35294117647058826,3,2,7,0.2
188,O=C(CCn1cncc1C(=O)NC1CC1)Nc1cccc(C(F)(F)F)c1,0.35294117647058826,3,2,6,0.13414634146341464
189,O=C(Cc1csc(-c2ccc(Br)s2)n1)N(CCO)CCO,0.38461538461538464,2,2,5,0.0945945945945946
190,O=C(Cc1csc(NC(=O)c2ccc(Br)o2)n1)N1C2CCC1COC2,0.4375,4,1,7,0.10843373493975904
191,CC(=O)N1CC(C(=O)Nc2ccn(C(C)c3ccccn3)n2)C1,0.375,3,1,7,0.1
192,CC(=O)N1CC(NC(=O)c2ccc(Br)cc2-n2cncn2)C(C)(C)C1,0.4117647058823529,3,1,7,0.12345679012345678
193,CC(=O)N1CC(NC(=O)c2ccc(C(F)(F)F)cn2)C(c2cnn(C)c2)C1,0.4117647058823529,3,1,7,0.06976744186046512
194,CC(=O)N1CC(NC(=O)c2cn(Cc3cccc(Cl)c3)nn2)C1,0.3333333333333333,3,1,7,0.15384615384615385
195,CC(=O)N1CC(n2cc(CNC(=O)C(C)c3ccc(Br)s3)nn2)C1,0.4666666666666667,3,1,7,0.08333333333333333
196,CC(=O)N1CCCC(c2n[nH]c(C3CCCOC3c3ccccc3)n2)C1,0.55,4,1,6,0.10843373493975904
197,CC(=O)NC(C)C(=O)Nc1nc(C)c(Cc2cccc(F)c2)s1,0.3125,2,2,5,0.18666666666666668
198,CC(=O)NC(CC(=O)Nc1ccc(-n2ccc(C)n2)cc1)C(F)(F)F,0.3125,2,2,6,0.08860759493670886
199,CC(=O)NC(CC(=O)Nc1nnc(-c2ccc(Br)cc2F)s1)C(F)(F)F,0.2857142857142857,2,2,6,0.10975609756097561
200,CC(=O)NC(CC(=O)Nc1nnc(-c2ccc(Cl)cc2)s1)C(F)(F)F,0.2857142857142857,2,2,6,0.11688311688311688
201,CC(=O)NC(CC(C)C)C(=O)Nc1cnn(-c2cccc(C(F)(F)F)c2)c1,0.3888888888888889,2,2,6,0.13414634146341464
202,CC(=O)NC1(C(=O)Nc2ccc(Oc3ccc(Br)cc3)nc2)CCC1,0.2777777777777778,3,2,6,0.10126582278481013
203,CC(=O)NC1(C(=O)Nc2nc(-c3cc(C(F)(F)F)ccc3F)cs2)CCCCC1,0.42105263157894735,3,2,5,0.10588235294117647
204,CC(=O)NCC(=O)Nc1ccn(CCc2nc(C)co2)n1,0.38461538461538464,2,2,8,0.10126582278481013
205,CC(=O)NCC1CCn2ncc(C(=O)N3CCc4ccnc(O)c4C3)c2C1,0.47368421052631576,4,2,8,0.1
206,CC(=O)NCCCNc1nc(C(F)(F)F)ccc1C(=O)c1ccco1,0.3125,2,2,6,0.15584415584415584
207,CC(CNC(=O)c1ccc(=O)n(Cc2cccc(Cl)c2)n1)C(N)=O,0.25,2,3,7,0.18421052631578946
208,CC1(C)C(c2cccc(Cl)c2)CCN1C(=O)c1cncc(C(N)=O)c1,0.3157894736842105,3,2,5,0.15584415584415584
209,CC1(c2nc(-c3cccc(N4CCCC4=O)c3)no2)CCCNC1=O,0.4444444444444444,4,1,7,0.11904761904761904
210,CC12CCCCC1C(=O)Nc1cc(C(=O)NCCn3cccn3)ccc1O2,0.45,4,2,7,0.10869565217391304
211,CC1C(c2ccc(Br)cc2)OCCN1C(=O)c1cn(CCO)nn1,0.4375,3,1,7,0.0963855421686747
213,CCN(C)C(=O)CNC(=O)c1ccc(Sc2ccccn2)cc1,0.23529411764705882,2,1,5,0.12
214,CCN(CC(N)=O)Cc1csc(COc2ccc(Cl)cc2)n1,0.3333333333333333,2,2,5,0.11538461538461539
